List,ListID,Content,ListNo,WordID,Sound1,Sound2,type,ExpAns
LNT,List 2,ear,26,176,FAS_M6M-LNTW-02-26.wav,FAS_K9M-LNTW-02-26.wav,MK,f
LNT,List 2,hand,27,177,FAS_J1M-LNTW-02-27.wav,FAS_K7M-LNTW-02-27.wav,JK,f
LNT,List 2,dry,28,178,FAS_J1M-LNTW-02-28.wav,FAS_K7M-LNTW-02-28.wav,JK,f
LNT,List 2,zoo,29,179,FAS_J1M-LNTW-02-29.wav,FAS_K7M-LNTW-02-29.wav,JK,f
LNT,List 2,goat,30,180,FAS_J1M-LNTW-02-30.wav,FAS_K7M-LNTW-02-30.wav,JK,f
LNT,List 2,toy,31,181,FAS_J1M-LNTW-02-31.wav,FAS_K9M-LNTW-02-31.wav,JK,f
LNT,List 2,call,32,182,FAS_J1M-LNTW-02-32.wav,FAS_K9M-LNTW-02-32.wav,JK,f
PBK,List 3,sell,8,183,FAS_J1M-PBKW-03-08.wav,FAS_K9M-PBKW-03-08.wav,JK,f
PBK,List 3,tire,1,184,FAS_J1M-PBKW-03-01.wav,FAS_K9M-PBKW-03-01.wav,JK,f
LNT,List 2,wrong,35,185,FAS_J2M-LNTW-02-35.wav,FAS_K7M-LNTW-02-35.wav,JK,f
LNT,List 2,bed,36,186,FAS_J2M-LNTW-02-36.wav,FAS_K7M-LNTW-02-36.wav,JK,f
PBK,List 3,seed,2,187,FAS_J2M-PBKW-03-02.wav,FAS_K7M-PBKW-03-02.wav,JK,f
LNT,List 2,man,38,188,FAS_J2M-LNTW-02-38.wav,FAS_K7M-LNTW-02-38.wav,JK,f
LNT,List 2,run,39,189,FAS_J2M-LNTW-02-39.wav,FAS_K9M-LNTW-02-39.wav,JK,f
PBK,List 3,quick,4,190,FAS_J2M-PBKW-03-04.wav,FAS_K9M-PBKW-03-04.wav,JK,f
LNT,List 2,read,41,191,FAS_J2M-LNTW-02-41.wav,FAS_K9M-LNTW-02-41.wav,JK,f
LNT,List 2,grow,42,192,FAS_J2M-LNTW-02-42.wav,FAS_K9M-LNTW-02-42.wav,JK,f
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
